ID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
3552,Y?an,669.0,France,Female,41.0,0,150219.41,2,No,No,107839.03,No,2,PLATINUM,880,0
3553,Montalvo,626.0,France,Female,32.0,0,0.0,2,No,No,187172.54,No,4,GOLD,479,0
3554,Ting,528.0,France,Female,,7,176227.07,2,No,Yes,139481.53,No,1,GOLD,875,0
3555,Beale,458.0,Germany,Male,44.0,7,84386.57,1,Yes,No,178642.73,No,5,DIAMOND,466,0
3556,Chia,545.0,Germany,Female,44.0,2,127536.44,1,Yes,No,108398.63,No,5,PLATINUM,320,0
3557,Matveyev,540.0,Spain,Female,28.0,6,84121.04,1,No,Yes,80698.54,No,3,SILVER,939,0
3558,Folliero,637.0,France,Female,,9,166939.88,1,Yes,Yes,72504.76,No,1,PLATINUM,454,0
3559,Ch'en,789.0,Germany,Male,33.0,8,151607.56,1,Yes,No,4389.4,No,4,SILVER,513,0
3560,Kao,547.0,France,Female,35.0,4,0.0,1,Yes,Yes,133287.73,No,1,GOLD,305,0
3561,Angelo,769.0,France,Female,39.0,8,0.0,1,No,Yes,21016.0,No,3,GOLD,828,0
3562,Watson,490.0,Spain,Male,31.0,3,145260.23,1,No,Yes,114066.77,No,4,SILVER,471,0
3563,Vorobyova,850.0,France,Female,71.0,4,0.0,2,Yes,Yes,107236.87,No,3,PLATINUM,518,0
3564,Wallace,559.0,France,Female,31.0,3,127070.73,1,No,Yes,160941.78,No,2,PLATINUM,665,0
3565,Helena,515.0,France,Female,25.0,7,79543.59,1,No,Yes,38772.82,No,2,DIAMOND,509,0
3566,Niu,651.0,Spain,Female,46.0,4,89743.05,1,Yes,No,156425.57,Yes,5,PLATINUM,860,1
3567,Chukwukere,701.0,France,Male,37.0,1,0.0,2,Yes,No,163457.55,No,3,GOLD,947,0
3568,Ford,525.0,Spain,Female,37.0,0,0.0,1,No,Yes,131521.72,No,5,SILVER,642,0
3569,Scott,571.0,France,Male,38.0,1,121405.04,1,Yes,Yes,154844.22,No,4,GOLD,585,0
3570,Mosman,669.0,France,Male,46.0,3,0.0,2,No,Yes,,No,2,SILVER,665,0
3571,Castiglione,708.0,Germany,Male,21.0,8,133974.36,2,Yes,No,50294.09,No,5,GOLD,959,0
3572,Milne,625.0,France,Female,,2,79468.96,1,Yes,Yes,84606.03,No,2,PLATINUM,629,0
3573,Lavrentiev,550.0,France,Male,31.0,5,142200.19,2,Yes,Yes,122221.71,No,4,PLATINUM,878,0
3574,Bearce,528.0,France,Male,31.0,6,102016.72,2,No,No,80181.12,No,3,GOLD,264,0
3575,Moon,622.0,Spain,Female,26.0,8,0.0,2,Yes,Yes,124964.82,No,1,SILVER,471,0
3576,Kerr,772.0,France,Male,43.0,6,0.0,2,Yes,Yes,57675.88,No,5,PLATINUM,807,0
3577,Gilbert,768.0,Germany,Female,47.0,5,104552.61,1,Yes,No,48137.08,Yes,4,PLATINUM,245,1
3578,Green,559.0,Spain,Male,24.0,3,114739.92,1,Yes,No,85891.02,Yes,4,SILVER,327,1
3579,Bird,680.0,Spain,Male,42.0,0,0.0,1,Yes,No,136377.21,No,3,DIAMOND,821,0
3580,Chung,808.0,Spain,Male,25.0,7,0.0,2,No,Yes,23180.37,No,4,GOLD,387,0
3581,Hs?,678.0,Germany,Female,51.0,1,145751.03,1,No,No,109718.44,Yes,4,DIAMOND,957,1
3582,Pirozzi,684.0,Spain,,56.0,8,78707.16,1,Yes,Yes,99398.36,No,4,SILVER,903,0
3583,Warlow-Davies,,France,Female,27.0,5,125167.74,1,Yes,No,199104.52,No,3,SILVER,819,0
3584,Wynne,766.0,Germany,Female,28.0,3,62717.84,2,Yes,Yes,13182.43,No,1,GOLD,808,0
3585,Allan,789.0,France,Female,32.0,7,69423.52,1,Yes,No,107499.39,No,2,SILVER,666,0
3586,K'ung,724.0,Spain,Male,45.0,5,83888.54,1,No,Yes,34121.81,No,3,SILVER,559,0
3587,Ni,725.0,France,Female,,6,0.0,2,Yes,Yes,190776.83,No,4,SILVER,826,0
3588,Fraser,,France,Male,32.0,5,73494.21,1,No,,136301.1,No,3,DIAMOND,655,0
3589,Bell,,France,Female,35.0,2,90865.8,1,Yes,Yes,86764.46,No,5,GOLD,647,0
3590,Chu,850.0,France,Male,27.0,6,96654.72,2,No,No,152740.16,No,2,PLATINUM,613,0
3591,Trouette,683.0,France,Female,42.0,4,148283.94,1,Yes,Yes,44692.63,Yes,4,SILVER,268,1
3592,Douglas,701.0,Germany,Male,32.0,5,102500.34,1,No,No,106287.77,No,5,PLATINUM,763,0
3593,Cooper,580.0,France,Female,35.0,8,0.0,2,No,,10357.03,No,3,GOLD,717,0
3594,Hughes,676.0,France,Female,43.0,2,0.0,1,Yes,Yes,55119.53,No,1,PLATINUM,679,0
3595,Rivero,589.0,Germany,Female,20.0,2,121093.29,2,Yes,No,3529.72,No,1,GOLD,683,0
3596,Mills,716.0,France,Female,35.0,8,112808.18,1,No,Yes,17848.3,No,1,SILVER,565,0
3597,Dickson,604.0,Spain,Female,,10,0.0,2,Yes,Yes,166224.39,No,2,DIAMOND,876,0
3598,Marcelo,722.0,Germany,Female,32.0,5,106807.64,1,Yes,Yes,76998.69,No,5,PLATINUM,659,0
3599,Knight,593.0,France,Male,50.0,6,171740.69,1,No,No,20893.61,No,4,SILVER,602,0
3600,Tsou,689.0,Germany,Female,55.0,1,76296.81,1,Yes,No,42364.75,Yes,3,GOLD,908,1
3601,Townsend,760.0,Spain,Female,57.0,1,0.0,2,Yes,Yes,25101.17,No,2,PLATINUM,687,0
3602,L?,625.0,France,Male,22.0,9,0.0,2,Yes,No,157072.91,No,2,PLATINUM,599,0
3603,Buccho,504.0,France,Male,42.0,3,134936.97,2,No,No,135178.91,No,2,DIAMOND,985,0
3604,Golubeva,625.0,France,Male,39.0,5,0.0,1,Yes,No,99800.87,No,5,GOLD,520,0
3605,Fleming,672.0,France,Female,53.0,9,169406.33,4,Yes,Yes,147311.47,Yes,4,DIAMOND,232,1
3606,Hope,506.0,Spain,Male,32.0,8,0.0,2,No,Yes,,No,4,DIAMOND,671,0
3607,Townsend,624.0,Spain,Male,51.0,5,174397.21,2,Yes,Yes,172372.63,No,2,PLATINUM,955,0
3608,Onyeorulu,724.0,Germany,Male,33.0,5,103564.83,2,Yes,No,121085.72,No,1,GOLD,352,0
3609,Walker,602.0,France,Male,23.0,7,113758.48,2,No,No,,No,4,DIAMOND,719,0
3610,Ibekwe,601.0,France,Female,37.0,5,0.0,1,No,,20708.6,No,2,GOLD,987,0
3611,Knight,493.0,France,Female,37.0,8,142987.46,2,Yes,No,158840.99,No,4,DIAMOND,660,0
3612,Kuo,639.0,France,Female,,3,98360.03,1,No,No,20973.8,No,4,PLATINUM,607,0
3613,Nwoye,638.0,Germany,Male,25.0,4,148045.45,2,Yes,Yes,114722.42,No,2,SILVER,537,0
3614,Cook,778.0,Spain,Female,47.0,6,127299.34,2,Yes,No,124694.99,No,2,GOLD,859,0
3615,Fraser,671.0,Germany,Female,44.0,0,84745.03,2,No,Yes,34673.98,No,4,SILVER,863,0
3616,Palerma,706.0,France,Male,32.0,6,94486.47,1,Yes,,146949.74,No,5,DIAMOND,904,0
3617,Davies,783.0,Germany,Female,41.0,5,106640.5,1,Yes,No,176945.96,No,5,PLATINUM,498,0
3618,Hill,,Germany,Male,25.0,2,171770.55,1,Yes,No,22745.5,No,4,GOLD,487,0
3619,Hancock,666.0,France,Female,41.0,10,141162.08,1,Yes,No,50908.48,No,2,SILVER,510,0
3620,Chimaraoke,803.0,Germany,Male,34.0,4,142929.16,2,Yes,Yes,114869.56,No,2,GOLD,325,0
3621,Chapman,537.0,Germany,Female,47.0,4,124192.28,2,Yes,Yes,50881.51,No,5,SILVER,666,0
3622,Kirwan,601.0,Spain,Female,42.0,4,96763.89,1,Yes,Yes,199242.65,No,2,PLATINUM,235,0
3623,Stephenson,680.0,France,Male,34.0,3,143292.95,1,Yes,No,66526.01,No,1,SILVER,694,0
3624,Chiemenam,631.0,France,Male,26.0,1,149144.61,1,No,Yes,123697.95,No,3,PLATINUM,887,0
3625,Bruce,645.0,France,Male,42.0,4,98298.18,1,Yes,,676.06,No,4,DIAMOND,234,0
3626,Winifred,627.0,France,Male,44.0,6,153548.12,1,No,No,35300.08,Yes,2,DIAMOND,740,1
3627,Young,695.0,France,Male,36.0,6,114007.5,2,Yes,No,118120.88,No,1,DIAMOND,533,0
3628,Clark,668.0,France,Male,32.0,7,0.0,2,Yes,Yes,777.37,No,2,GOLD,883,0
3629,Chu,820.0,Germany,Male,39.0,9,111336.89,1,Yes,No,16770.31,Yes,5,PLATINUM,753,1
3630,Hsu,596.0,France,Female,39.0,10,86546.29,1,No,Yes,131768.98,No,3,DIAMOND,890,0
3631,Kanayochukwu,,France,Female,29.0,4,0.0,2,Yes,No,121846.81,No,1,SILVER,339,0
3632,Johnson,501.0,France,Male,37.0,4,0.0,2,No,No,12470.3,No,4,GOLD,453,0
3633,McDaniels,808.0,Spain,Male,47.0,8,139196.0,1,No,Yes,74028.36,No,2,SILVER,801,0
3634,Pan,542.0,France,,29.0,7,0.0,2,No,Yes,196651.72,No,3,DIAMOND,761,0
3635,Pisani,577.0,France,Female,34.0,2,0.0,2,Yes,Yes,84033.35,No,5,PLATINUM,309,0
3636,Hsia,699.0,France,Female,43.0,3,80764.03,1,Yes,No,199378.58,Yes,3,PLATINUM,490,1
3637,Chiang,777.0,Germany,Male,35.0,7,122917.69,1,Yes,,76169.68,No,2,DIAMOND,624,0
3638,Pagnotto,598.0,France,Female,64.0,9,0.0,1,No,Yes,13181.37,Yes,5,GOLD,753,1
3639,Maclean,797.0,France,Male,45.0,8,0.0,1,No,No,125110.02,No,2,DIAMOND,456,0
3640,Hale,547.0,Spain,Female,22.0,7,141287.15,1,Yes,No,118142.79,No,5,PLATINUM,282,0
3641,Ko,589.0,France,Female,59.0,2,0.0,2,Yes,Yes,126160.24,Yes,4,SILVER,292,1
3642,Marcelo,819.0,France,,39.0,9,133102.92,1,Yes,No,,Yes,2,SILVER,444,1
3643,Poole,671.0,Germany,,45.0,6,99564.22,1,Yes,Yes,,Yes,3,PLATINUM,901,1
3644,Chiekwugo,624.0,France,Male,36.0,6,0.0,2,No,No,84749.96,No,3,GOLD,747,0
3645,Knight,666.0,Spain,Male,,5,0.0,2,Yes,No,29346.1,No,2,SILVER,464,0
3646,Andrejew,688.0,Spain,Male,36.0,0,89772.3,1,Yes,No,177383.68,Yes,5,DIAMOND,663,1
3647,Fanucci,785.0,France,,28.0,8,0.0,2,Yes,No,77231.27,No,2,SILVER,937,0
3648,Amaechi,573.0,France,Female,47.0,8,154543.98,1,Yes,No,29586.73,No,4,DIAMOND,842,0
3649,Bartlett,580.0,Spain,Male,32.0,9,142188.2,2,No,Yes,128028.6,No,3,DIAMOND,332,0
3650,Wood,751.0,Spain,Male,33.0,4,79281.61,1,Yes,,117547.76,No,4,GOLD,599,0
3651,Chung,638.0,France,Male,24.0,1,0.0,2,No,Yes,162597.15,No,1,GOLD,567,0
3652,Chiemela,547.0,France,Female,51.0,1,0.0,2,Yes,Yes,56908.41,No,2,SILVER,868,0
3653,O'Neill,699.0,Spain,,47.0,1,0.0,2,No,Yes,30117.44,No,3,SILVER,788,0
3654,Lucchesi,512.0,France,Female,30.0,6,0.0,2,Yes,No,88827.31,No,2,GOLD,471,0
3655,Hao,609.0,Germany,Male,33.0,6,94126.67,1,No,No,93718.16,No,1,PLATINUM,1000,0
3656,De Luca,730.0,Spain,Male,62.0,5,112181.08,1,No,,61513.87,No,4,DIAMOND,916,0
3657,Dufresne,631.0,Germany,Female,34.0,6,125227.82,2,No,Yes,128247.03,No,2,PLATINUM,305,0
3658,Fiorentino,473.0,France,Female,25.0,6,110666.42,2,No,No,46758.42,No,3,SILVER,442,0
3659,Genovesi,738.0,Spain,Male,35.0,8,127290.61,1,Yes,No,16081.62,No,2,SILVER,620,0
3660,Shao,681.0,France,Male,38.0,3,0.0,2,Yes,Yes,112491.96,No,1,DIAMOND,861,0
3661,Chin,612.0,France,Female,42.0,10,75497.51,1,No,No,149682.78,No,2,DIAMOND,240,0
3662,Preston,659.0,France,Female,32.0,9,0.0,2,Yes,Yes,93155.75,No,1,PLATINUM,428,0
3663,Kung,718.0,France,Male,33.0,7,102874.28,1,No,No,117841.06,No,5,SILVER,504,0
3664,Mayrhofer,434.0,Germany,Male,71.0,9,119496.87,1,Yes,No,125848.88,No,3,SILVER,690,0
3665,Paterson,615.0,Germany,Male,43.0,3,86920.86,1,Yes,Yes,150048.37,No,1,DIAMOND,579,0
3666,Graham,516.0,Spain,Female,31.0,3,0.0,2,Yes,No,124202.26,No,1,SILVER,413,0
3667,Nwabugwu,546.0,France,Female,52.0,2,0.0,1,Yes,No,137332.37,Yes,4,SILVER,325,1
3668,Walsh,562.0,France,Male,48.0,3,92347.96,1,Yes,Yes,163116.75,No,1,DIAMOND,876,0
3669,Briggs,524.0,Spain,Male,29.0,3,159035.45,1,Yes,No,2705.31,Yes,4,GOLD,580,1
3670,Sousa,697.0,France,Female,,10,0.0,2,Yes,No,61312.15,No,5,GOLD,867,0
3671,Vasilyev,614.0,Spain,Female,25.0,10,75212.28,1,Yes,No,58965.04,No,5,PLATINUM,386,0
3672,Steele,640.0,Germany,Male,39.0,9,131607.28,4,No,Yes,6981.43,Yes,2,GOLD,436,1
3673,Obidimkpa,527.0,Germany,Female,30.0,6,126663.51,1,Yes,Yes,162267.91,No,4,SILVER,617,0
3674,Morres,850.0,France,Female,31.0,4,0.0,2,Yes,Yes,33082.81,No,1,PLATINUM,898,0
3675,Taylor,,France,Male,36.0,5,0.0,2,Yes,Yes,109127.54,No,5,SILVER,513,0
3676,Illingworth,639.0,Spain,Female,27.0,8,133806.54,2,Yes,No,6251.3,No,2,PLATINUM,533,0
3677,Young,588.0,Spain,Male,37.0,2,0.0,2,No,Yes,187816.59,No,2,DIAMOND,889,0
3678,Hs?eh,563.0,Spain,Female,42.0,6,99056.22,2,Yes,No,154347.95,Yes,4,SILVER,670,1
3679,Ko,629.0,Spain,Female,,2,34013.63,1,Yes,No,19570.63,No,2,DIAMOND,952,0
3680,Millar,615.0,France,Female,30.0,9,0.0,1,Yes,No,87347.82,No,3,SILVER,437,0
3681,Y?,,France,Female,40.0,10,0.0,2,Yes,No,154189.08,No,5,DIAMOND,938,0
3682,Ko,686.0,France,Male,60.0,9,0.0,3,Yes,Yes,75246.21,Yes,4,GOLD,295,1
3683,Ozioma,591.0,France,Male,24.0,6,147360.0,1,Yes,Yes,25310.82,No,3,SILVER,602,0
3684,Edman,513.0,France,Male,29.0,10,0.0,2,No,Yes,25514.77,No,5,GOLD,536,0
3685,Neal,850.0,Germany,Female,32.0,0,116968.91,1,No,No,175094.62,No,2,PLATINUM,442,0
3686,Kang,588.0,Germany,Female,34.0,10,129417.82,1,Yes,No,153727.32,No,3,DIAMOND,300,0
3687,Aitken,627.0,France,Female,55.0,2,159441.27,1,Yes,No,100686.11,Yes,3,DIAMOND,485,1
3688,Colombo,502.0,Germany,Female,57.0,3,101465.31,1,Yes,No,43568.31,Yes,5,SILVER,882,1
3689,Zarate,534.0,France,Female,42.0,9,144801.97,1,No,Yes,12483.39,Yes,3,SILVER,771,1
3690,Kennedy,524.0,France,Female,,7,0.0,2,No,Yes,147100.72,No,1,PLATINUM,983,0
3691,Donahue,643.0,France,Male,33.0,4,0.0,2,Yes,Yes,152992.04,No,2,PLATINUM,720,0
3692,Ermakova,679.0,Germany,Female,32.0,0,88335.05,1,No,No,159584.81,No,5,DIAMOND,641,0
3693,Greenwalt,715.0,France,Male,21.0,6,76467.16,1,Yes,Yes,173511.72,No,4,GOLD,995,0
3694,Uvarova,614.0,Spain,Male,35.0,2,127283.78,1,Yes,Yes,31302.35,No,1,SILVER,668,0
3695,Ndubuisi,609.0,France,Male,25.0,10,0.0,1,No,,109895.16,No,2,PLATINUM,652,0
3696,Mofflin,761.0,Spain,Male,27.0,8,0.0,2,Yes,No,63297.7,No,5,SILVER,494,0
3697,K'ung,714.0,France,Male,46.0,1,0.0,1,Yes,No,152167.79,Yes,2,PLATINUM,747,1
3698,Whittaker,650.0,Spain,Male,,9,119618.42,1,Yes,Yes,29861.13,No,4,GOLD,405,0
3699,Stirling,581.0,Germany,Female,26.0,3,105099.45,1,Yes,Yes,184520.0,Yes,5,DIAMOND,877,1
3700,Johnstone,678.0,France,Female,43.0,7,178074.33,1,No,No,110405.9,No,3,DIAMOND,853,0
3701,Chao,461.0,Germany,Female,74.0,1,186445.31,2,Yes,Yes,196767.83,No,3,GOLD,885,0
3702,Lorenzen,,Germany,Male,44.0,9,119530.52,1,Yes,No,119056.68,Yes,4,SILVER,802,1
3703,Norris,538.0,France,Male,31.0,1,0.0,2,Yes,No,1375.46,No,1,PLATINUM,360,0
3704,Kulikova,622.0,France,Male,59.0,5,119380.37,1,Yes,Yes,60429.43,No,1,PLATINUM,650,0
3705,Doyne,605.0,Spain,Female,48.0,10,150315.92,1,No,Yes,133486.36,No,4,GOLD,653,0
3706,Day,674.0,Germany,Male,47.0,6,106901.94,1,Yes,Yes,2079.2,Yes,4,GOLD,363,1
3707,Chia,847.0,France,Male,51.0,5,97565.74,1,No,No,144184.06,Yes,3,PLATINUM,530,1
3708,Horsfall,592.0,France,Female,31.0,2,84102.11,2,No,Yes,116385.24,No,1,PLATINUM,677,0
3709,Hsiung,761.0,France,Female,26.0,1,0.0,2,Yes,Yes,199409.19,No,5,PLATINUM,497,0
3710,Nworie,647.0,Spain,Female,29.0,2,0.0,2,Yes,No,179032.68,No,1,DIAMOND,373,0
3711,Builder,589.0,France,Male,38.0,2,0.0,1,Yes,No,79915.28,No,2,SILVER,985,0
3712,Newton,850.0,France,Male,40.0,6,97339.99,1,No,Yes,88815.25,No,1,GOLD,756,0
3713,Kaodilinakachukwu,605.0,France,Female,51.0,9,104760.82,1,Yes,Yes,165574.54,Yes,1,PLATINUM,675,1
3714,Nnachetam,549.0,Spain,Male,25.0,6,193858.2,1,No,,21600.11,No,3,PLATINUM,737,0
3715,Yudin,717.0,France,Male,42.0,5,0.0,2,Yes,No,172665.21,No,3,GOLD,594,0
3716,Lees,604.0,France,Female,34.0,7,0.0,2,Yes,No,193021.49,No,2,SILVER,457,0
3717,Mazzanti,671.0,Germany,Male,35.0,1,144848.74,1,Yes,Yes,,No,5,PLATINUM,731,0
3718,Moss,640.0,France,Male,,3,137148.68,1,Yes,No,92381.01,No,1,PLATINUM,351,0
3719,Morgan,764.0,France,Female,40.0,9,100480.53,1,Yes,No,124095.69,No,3,SILVER,261,0
3720,Young,585.0,Spain,Female,33.0,8,0.0,2,Yes,No,114182.07,No,4,PLATINUM,779,0
3721,Tien,609.0,Spain,Male,32.0,4,99883.16,1,Yes,Yes,120594.85,No,3,PLATINUM,887,0
3722,Mackay,583.0,France,Male,59.0,7,127450.14,1,No,Yes,67552.71,No,2,GOLD,992,0
3723,Milano,759.0,Spain,Male,38.0,1,0.0,2,Yes,No,,No,5,DIAMOND,795,0
3724,Romano,651.0,Spain,Female,63.0,8,129968.67,1,Yes,Yes,11830.53,No,3,PLATINUM,746,0
3725,Mao,608.0,France,Female,,4,0.0,1,Yes,No,79304.38,Yes,2,DIAMOND,820,1
3726,Capon,639.0,France,Female,27.0,2,0.0,2,No,No,125244.18,No,3,PLATINUM,541,0
3727,Bair,738.0,France,Male,26.0,9,0.0,2,Yes,Yes,48644.94,No,1,PLATINUM,524,0
3728,Vinogradova,476.0,France,Male,40.0,6,0.0,1,Yes,,22735.45,No,4,PLATINUM,507,0
3729,Onyemachukwu,551.0,France,,43.0,7,0.0,2,Yes,No,178393.68,No,1,PLATINUM,972,0
3730,Spencer,566.0,France,Male,36.0,1,142120.91,1,Yes,No,79616.37,No,5,GOLD,542,0
3731,Ferguson,626.0,France,Female,52.0,0,0.0,2,Yes,No,32159.46,Yes,3,SILVER,959,1
3732,Muomelu,659.0,Germany,Male,29.0,9,82916.48,1,Yes,Yes,84133.48,No,5,SILVER,652,0
3733,Ejimofor,637.0,France,Male,32.0,5,0.0,1,No,No,148769.08,No,2,GOLD,491,0
3734,Sal,744.0,Germany,Male,38.0,6,73023.17,2,Yes,No,78770.86,No,5,GOLD,353,0
3735,Robb,732.0,France,Female,35.0,3,0.0,2,Yes,No,,No,3,SILVER,518,0
3736,Neitenstein,546.0,France,Male,34.0,4,165363.31,2,Yes,Yes,25744.13,Yes,2,SILVER,440,1
3737,Tretiakov,,Germany,Female,31.0,1,128927.93,1,Yes,Yes,,No,4,PLATINUM,847,0
3738,Mullah,850.0,Spain,Male,37.0,2,0.0,2,Yes,No,119969.99,No,2,DIAMOND,272,0
3739,Kelly,612.0,Spain,Male,39.0,5,170288.38,1,Yes,Yes,59601.15,No,4,GOLD,295,0
3740,Mills,615.0,France,Male,45.0,5,0.0,2,Yes,Yes,164886.64,No,4,DIAMOND,537,0
3741,Summers,,Germany,Female,48.0,6,111962.99,1,Yes,No,111755.8,No,5,GOLD,446,0
3742,Martin,600.0,Germany,Female,,7,88477.36,2,Yes,No,58632.37,No,5,GOLD,877,0
3743,Mamelu,,Germany,Male,42.0,2,132193.94,2,Yes,Yes,162865.52,No,1,SILVER,851,0
3744,Duigan,573.0,France,Female,30.0,6,0.0,2,Yes,,66190.21,No,2,PLATINUM,546,0
3745,Mishina,803.0,Spain,Female,45.0,7,0.0,2,Yes,Yes,128378.04,No,1,PLATINUM,589,0
3746,Wark,616.0,France,Male,29.0,9,0.0,1,Yes,Yes,166984.44,No,2,PLATINUM,310,0
3747,Corser,554.0,Spain,Male,30.0,6,135370.12,1,Yes,Yes,179689.05,Yes,4,PLATINUM,664,1
3748,Kennedy,633.0,France,Female,34.0,3,123034.43,2,Yes,Yes,38315.04,No,4,GOLD,570,0
3749,West,550.0,Germany,Female,45.0,8,111257.59,1,No,No,97623.42,Yes,1,SILVER,448,1
3750,Stehle,653.0,France,Female,46.0,5,0.0,2,Yes,,49707.85,No,1,PLATINUM,231,0
3751,Thomson,646.0,France,Male,50.0,0,104129.24,2,Yes,No,181794.86,Yes,4,DIAMOND,377,1
3752,Sutherland,487.0,France,Male,37.0,6,0.0,2,Yes,Yes,126477.41,No,2,SILVER,701,0
3753,Forbes,746.0,France,Male,36.0,9,127157.04,1,Yes,Yes,155700.15,No,3,SILVER,948,0
3754,Yin,691.0,France,Male,34.0,8,133936.04,2,Yes,No,91359.79,No,1,SILVER,861,0
3755,Schaffer,636.0,Spain,Female,36.0,1,0.0,1,Yes,No,43134.58,No,3,DIAMOND,783,0
3756,Rowe,629.0,Germany,Male,28.0,8,108601.0,1,Yes,Yes,119647.7,No,1,GOLD,756,0
3757,Ijendu,383.0,Spain,Female,48.0,8,95808.19,1,No,No,137702.01,Yes,1,SILVER,609,1
3758,Lo,600.0,Germany,Female,29.0,6,74430.1,2,Yes,Yes,96051.1,No,2,DIAMOND,366,0
3759,Pauley,656.0,France,Male,38.0,10,0.0,1,Yes,Yes,136521.82,No,1,SILVER,894,0
3760,Piccio,531.0,Spain,Female,42.0,6,75302.85,2,No,No,57034.35,No,1,PLATINUM,505,0
3761,Obiajulu,536.0,Germany,Female,44.0,4,121898.82,1,No,No,131007.18,No,2,GOLD,763,0
3762,Bergamaschi,500.0,Spain,,38.0,7,0.0,2,No,No,192013.23,No,2,DIAMOND,870,0
3763,Davide,614.0,Spain,Female,36.0,1,44054.84,1,Yes,Yes,73329.08,No,4,SILVER,869,0
3764,Buchanan,577.0,France,Female,37.0,4,0.0,1,Yes,Yes,79881.39,No,1,PLATINUM,642,0
3765,Marchesi,510.0,France,Female,32.0,1,0.0,2,No,Yes,28515.17,No,4,SILVER,523,0
3766,Kharlamova,740.0,Spain,Male,43.0,9,0.0,1,Yes,No,199290.68,Yes,4,PLATINUM,891,1
3767,McMillan,645.0,Spain,Male,49.0,8,0.0,2,Yes,No,162012.6,No,4,DIAMOND,503,0
3768,Stevens,691.0,France,Male,41.0,2,0.0,1,Yes,Yes,56850.92,Yes,2,SILVER,896,1
3769,Holden,614.0,France,Female,38.0,4,72594.0,1,Yes,Yes,76042.48,No,2,SILVER,689,0
3770,Ni,559.0,Spain,Male,25.0,5,0.0,2,Yes,Yes,163221.22,No,3,SILVER,897,0
3771,Stevenson,567.0,France,Female,45.0,4,0.0,2,No,Yes,121053.19,No,3,GOLD,525,0
3772,Wang,647.0,Germany,Male,35.0,3,192407.97,1,Yes,,40145.28,No,3,DIAMOND,962,0
3773,Hoolan,738.0,France,,35.0,5,161274.05,2,Yes,,181429.87,No,5,SILVER,566,0
3774,Steele,588.0,France,Female,64.0,3,0.0,1,Yes,Yes,189703.65,No,4,SILVER,286,0
3775,Lu,601.0,France,,26.0,8,78892.23,1,Yes,Yes,23703.52,No,1,SILVER,876,0
3776,Kapustina,531.0,Spain,Male,70.0,1,0.0,2,No,No,99503.19,No,2,PLATINUM,982,0
3777,Davide,621.0,France,Female,50.0,5,0.0,2,Yes,No,191756.54,Yes,5,DIAMOND,344,1
3778,Hung,848.0,Spain,Male,40.0,3,110929.96,1,Yes,Yes,30876.84,No,3,GOLD,844,0
3779,Mazzanti,698.0,France,Male,48.0,4,101238.24,2,No,Yes,177815.87,Yes,1,GOLD,342,1
3780,Baddeley,525.0,Spain,,25.0,10,0.0,2,Yes,No,69361.95,No,5,GOLD,428,0
3781,Ma,636.0,Spain,Male,76.0,9,126534.6,1,Yes,Yes,39789.62,No,4,DIAMOND,847,0
3782,Finch,850.0,France,Female,35.0,6,81684.97,1,Yes,No,824.0,No,5,SILVER,576,0
3783,Lim,705.0,France,Male,25.0,0,97544.29,1,No,Yes,59887.15,No,4,DIAMOND,723,0
3784,Hewitt,731.0,France,Male,43.0,2,0.0,1,Yes,Yes,170034.95,Yes,2,DIAMOND,777,1
3785,Carlson,657.0,Germany,Female,38.0,5,123770.46,1,No,No,47019.66,Yes,1,SILVER,385,1
3786,Savage,575.0,Germany,Male,47.0,9,107915.94,2,Yes,Yes,63452.18,Yes,5,DIAMOND,232,1
3787,King,648.0,Germany,Female,28.0,8,90371.09,1,Yes,Yes,146851.73,No,4,PLATINUM,842,0
3788,Azubuike,533.0,France,Female,35.0,8,0.0,2,Yes,Yes,,No,3,PLATINUM,558,0
3789,Marsh,582.0,France,Female,39.0,1,132077.48,2,Yes,No,192255.15,No,3,GOLD,348,0
3790,Mazure,627.0,Spain,Male,49.0,4,111087.5,1,No,Yes,146680.25,No,5,SILVER,900,0
3791,Patel,777.0,Germany,Female,34.0,5,96693.66,1,Yes,,172618.52,No,2,SILVER,971,0
3792,Forster,850.0,Germany,Male,44.0,3,140393.65,2,No,Yes,186285.52,No,5,SILVER,414,0
3793,Yeh,688.0,Germany,Male,45.0,9,103399.87,1,No,No,129870.93,No,1,PLATINUM,632,0
3794,Wei,739.0,France,Male,37.0,7,104960.46,1,No,Yes,,No,5,SILVER,384,0
3795,Davidson,,France,Male,31.0,6,131996.66,2,Yes,Yes,178747.43,No,4,SILVER,655,0
3796,Lombardi,611.0,Spain,Male,52.0,7,0.0,1,No,Yes,73585.18,Yes,2,PLATINUM,380,1
3797,Gardiner,783.0,Spain,Female,,1,136689.66,1,Yes,No,197890.65,No,1,GOLD,412,0
3798,Iroawuchi,787.0,Spain,Male,39.0,10,108935.39,1,Yes,Yes,101168.3,No,5,DIAMOND,637,0
3799,Conti,621.0,Germany,Female,55.0,7,131033.76,1,No,Yes,75685.59,Yes,4,SILVER,412,1
3800,Wang,627.0,Germany,Female,35.0,2,137852.96,1,Yes,Yes,172269.21,Yes,3,SILVER,803,1
